p,umbral,flat_corr,av_corr,mean_corr,aciertos,aciertos_pct,desaciertos,desaciertos_pct
0.8,2.0,0.028888254522176207,0.6319725507349915,0.5886603344793427,6649.0,0.026314747973657546,119687.0,0.47368525202634243
0.8,3.0,0.05823746437388648,0.7605585834950651,0.7128469591904124,5574.0,0.03247305563646956,80251.0,0.46752694436353043
0.8,4.0,0.09348988108551629,0.8829447093543588,0.8435729593587528,3985.0,0.04714191075569015,38281.0,0.45285808924430987
0.8,5.0,0.104948129448198,0.9396905234815603,0.9163283672927633,2251.0,0.06894756187209017,14073.0,0.43105243812790983
0.8,6.0,0.09215401793961293,0.9469540063868451,0.9435153351591787,1032.0,0.09402332361516035,4456.0,0.40597667638483964
0.8,7.0,0.06530952286190399,0.9199111183496841,0.9522528472181756,349.0,0.12262825017568517,1074.0,0.3773717498243148
0.8,8.0,0.036476759449846984,0.8407959695904224,0.9540495568116336,97.0,0.13324175824175824,267.0,0.36675824175824173
0.8,9.0,0.020139572026389455,0.7682283649307676,0.9544542211344845,28.0,0.13861386138613863,73.0,0.3613861386138614
0.8,10.0,0.012534965513959148,0.6303892635014173,0.9545545778865515,10.0,0.14705882352941177,24.0,0.35294117647058826
0.8,11.0,0.005001605008259594,0.5500124162639565,0.9545869510323797,2.0,0.125,6.0,0.375
0.8,12.0,0.00039238361660846074,0.3406915095974722,0.954596662976128,0.0,0.0,1.0,0.5
0.8,13.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.8,14.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.8,15.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.8,16.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.8,17.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.8,18.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.8,19.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.85,0.0,0.012231404239653475,0.4800141509630824,0.07598301057306943,13706.0,0.0229339223265231,285109.0,0.4770660776734769
0.85,1.0,0.02284995348111674,0.6065383543457684,0.32955214990061443,10387.0,0.024285714285714285,203463.0,0.4757142857142857
0.85,2.0,0.028805642496426864,0.6259369834656706,0.5861417037339186,6686.0,0.02628392615655565,120502.0,0.47371607384344433
0.85,3.0,0.0580574228799741,0.754171211723917,0.71003049550337,5618.0,0.03236809052464192,81165.0,0.4676319094753581
0.85,4.0,0.09492506633622115,0.8820887448621,0.8417276900465526,4065.0,0.04727183924085961,38931.0,0.4527281607591404
0.85,5.0,0.1080731226600857,0.94161804244218,0.915408969951246,2337.0,0.06963647199046484,14443.0,0.43036352800953515
0.85,6.0,0.094846509161481,0.9493948672822669,0.9431721798134012,1078.0,0.09479423144565599,4608.0,0.405205768554344
0.85,7.0,0.06737613151909015,0.9241414327986353,0.9521395412077773,369.0,0.12316421895861149,1129.0,0.37683578104138854
0.85,8.0,0.03875692326482854,0.8478836799507076,0.9540139463512227,107.0,0.13544303797468354,288.0,0.36455696202531646
0.85,9.0,0.02198722774821772,0.7732780979148133,0.9544574584490674,31.0,0.14622641509433962,75.0,0.35377358490566035
0.85,10.0,0.01228828830745638,0.6325508460387694,0.9545513405719688,10.0,0.14285714285714285,25.0,0.35714285714285715
0.85,11.0,0.005001605008259594,0.5500124162639565,0.9545869510323797,2.0,0.125,6.0,0.375
0.85,12.0,0.0043103038567008835,0.47928426391495643,0.954596662976128,1.0,0.16666666666666666,2.0,0.3333333333333333
0.85,13.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.85,14.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.85,15.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.85,16.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.85,17.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.85,18.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.85,19.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.85,20.0,0,0,0.9545999002907108,0.0,0,0.0,0
